                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.13277,                0.31188,                0.89096,                0.70721,                0.77491,                0.79294,                0.79294,                0.23448,                0.82156,                0.32116,             0.00090595,             0.00090595,             0.00090595
                     98,                0.14316,                 0.3342,                0.89179,                0.61769,                0.78621,                0.75414,                0.73305,                 0.2819,                 1.0415,                0.39587,             0.00090496,             0.00090496,             0.00090496
                     99,                0.14143,                0.33727,                 0.8981,                  0.853,                0.69115,                0.75075,                 0.7489,                0.20548,                 1.0533,                0.27762,             0.00090397,             0.00090397,             0.00090397
                    100,                0.14068,                0.32304,                0.90334,                0.55642,                0.69308,                0.67775,                0.66119,                0.22356,                  1.428,                0.32966,             0.00090298,             0.00090298,             0.00090298
                    101,                0.13646,                0.34474,                0.88597,                0.50368,                 0.7171,                0.74175,                 0.7411,                0.19923,                 1.2963,                0.29298,             0.00090199,             0.00090199,             0.00090199
                    102,                0.12848,                0.35732,                0.88716,                0.79565,                0.58636,                0.74206,                0.72963,                0.27238,                 1.1727,                0.39393,               0.000901,               0.000901,               0.000901
                    103,                0.14109,                0.34739,                0.87866,                0.53532,                0.79873,                0.79231,                0.77699,                0.21596,                0.90187,                0.34015,             0.00090001,             0.00090001,             0.00090001
                    104,                0.13162,                0.32546,                0.90366,                 0.5734,                0.64091,                0.72328,                0.70804,                 0.2031,                 1.3509,                0.29804,             0.00089902,             0.00089902,             0.00089902
                    105,                 0.1486,                0.35135,                0.88412,                0.87835,                0.72146,                0.78521,                0.78122,                0.22472,                0.83133,                0.32164,             0.00089803,             0.00089803,             0.00089803
                    106,                0.13241,                0.31132,                0.88985,                0.72458,                0.74562,                0.75362,                0.75362,                0.17787,                 1.0105,                0.27098,             0.00089704,             0.00089704,             0.00089704
                    107,                  0.138,                 0.3408,                0.89124,                0.70323,                0.69472,                 0.8045,                0.78702,                0.26035,                0.90803,                0.36394,             0.00089605,             0.00089605,             0.00089605
                    108,                0.13436,                0.34698,                0.88717,                0.73065,                 0.7115,                0.74239,                0.74239,                0.18547,                0.89991,                0.25105,             0.00089506,             0.00089506,             0.00089506
                    109,                0.13505,                0.30939,                0.88808,                0.61686,                0.74067,                0.73504,                0.73504,                0.19512,                0.92643,                0.28106,             0.00089407,             0.00089407,             0.00089407
                    110,                0.13753,                 0.3352,                0.89176,                0.70862,                0.79786,                0.80902,                 0.8085,                0.20538,                0.84599,                0.28654,             0.00089308,             0.00089308,             0.00089308
                    111,                0.13823,                0.35102,                 0.8942,                0.74044,                0.79787,                0.81568,                0.81568,                0.16315,                0.77773,                0.24125,             0.00089209,             0.00089209,             0.00089209
                    112,                0.12383,                0.29803,                 0.8938,                0.69138,                0.82073,                0.82599,                0.82318,                0.22633,                0.75433,                0.30386,              0.0008911,              0.0008911,              0.0008911
                    113,                0.13691,                0.31124,                0.89258,                0.54587,                0.70054,                0.72206,                0.69987,                0.23045,                 1.1221,                0.31883,             0.00089011,             0.00089011,             0.00089011
                    114,                0.14491,                0.32867,                0.89469,                0.64059,                0.87876,                0.77435,                0.77435,                0.19317,                0.86371,                0.25311,             0.00088912,             0.00088912,             0.00088912
                    115,                0.13523,                 0.3064,                0.88336,                0.56525,                0.85991,                0.79489,                0.79319,                 0.2165,                0.82335,                0.29517,             0.00088813,             0.00088813,             0.00088813
                    116,                0.13666,                0.32017,                0.88991,                0.64201,                0.78333,                0.74548,                0.74548,                0.17769,                0.87229,                0.24863,             0.00088714,             0.00088714,             0.00088714
                    117,                0.14466,                0.33293,                0.89653,                0.66426,                0.77733,                0.79361,                0.77117,                0.23661,                  1.051,                0.33309,             0.00088615,             0.00088615,             0.00088615
                    118,                0.14021,                0.34331,                0.88948,                0.50257,                0.80099,                0.70675,                0.69303,                0.29207,                 1.0356,                0.38309,             0.00088516,             0.00088516,             0.00088516
                    119,                0.13704,                0.30815,                0.88801,                0.61431,                0.71066,                0.76849,                 0.7247,                 0.3124,                 1.1947,                0.43593,             0.00088417,             0.00088417,             0.00088417
                    120,                0.13207,                0.31411,                0.88725,                0.59553,                0.68333,                0.71429,                0.71363,                0.25198,                  1.145,                0.36704,             0.00088318,             0.00088318,             0.00088318
                    121,                0.12426,                0.30366,                 0.8779,                0.69025,                0.80545,                0.77362,                0.77362,                0.18864,                0.95828,                0.27392,             0.00088219,             0.00088219,             0.00088219
                    122,                0.13073,                0.32441,                0.88496,                0.63741,                0.71233,                0.80871,                0.80871,                 0.1932,                0.95468,                0.26505,              0.0008812,              0.0008812,              0.0008812
                    123,                0.13197,                0.31791,                0.89373,                0.50342,                    0.9,                0.76181,                0.76181,                0.14977,                0.81425,                0.24404,             0.00088021,             0.00088021,             0.00088021
                    124,                0.12872,                0.30728,                0.89088,                0.71916,                0.83182,                0.82109,                0.82109,                0.17475,                0.74082,                0.27202,             0.00087922,             0.00087922,             0.00087922
                    125,                0.12442,                0.29289,                0.88903,                0.54685,                0.81712,                0.77365,                0.77285,                  0.203,                0.85187,                0.29828,             0.00087823,             0.00087823,             0.00087823
                    126,                0.12542,                0.28491,                0.88819,                0.23023,                0.43725,                0.36851,                0.36851,                0.21102,                 3.9133,                0.29775,             0.00087724,             0.00087724,             0.00087724
                    127,                0.12951,                0.31811,                0.88649,                0.92712,                    0.6,                0.62068,                0.61365,                0.23446,                 1.3894,                0.33166,             0.00087625,             0.00087625,             0.00087625
                    128,                0.13749,                0.34018,                0.90118,                0.57903,                 0.8276,                0.73751,                 0.7361,                0.21632,                 1.1199,                0.28595,             0.00087526,             0.00087526,             0.00087526
                    129,                0.13079,                0.31419,                0.89131,                0.87768,                0.55824,                0.65853,                0.65529,                 0.1808,                 1.0687,                0.26026,             0.00087427,             0.00087427,             0.00087427
                    130,                0.12535,                0.27633,                0.88381,                0.80417,                0.65792,                0.72513,                0.72455,                0.14915,                0.83129,                0.23506,             0.00087328,             0.00087328,             0.00087328
                    131,                0.12838,                0.32843,                   0.89,                0.50561,                0.82113,                0.74587,                0.74587,                0.15643,                0.92627,                0.23581,             0.00087229,             0.00087229,             0.00087229
                    132,                0.12255,                0.31002,                0.89741,                0.48952,                0.64545,                0.72279,                0.72279,                0.17651,                 1.0077,                0.27279,              0.0008713,              0.0008713,              0.0008713
                    133,                0.13707,                0.33148,                0.89037,                0.77622,                0.57797,                0.70263,                0.70263,                 0.1606,                0.91644,                0.25574,             0.00087031,             0.00087031,             0.00087031
                    134,                0.13483,                0.33054,                0.89304,                0.84885,                0.68358,                0.76085,                0.76085,                0.19371,                0.88618,                0.27729,             0.00086932,             0.00086932,             0.00086932
                    135,                0.12607,                0.29345,                0.88686,                0.53348,                0.67698,                 0.7103,                 0.6904,                0.22526,                 1.0472,                0.30453,             0.00086833,             0.00086833,             0.00086833
                    136,                0.12214,                 0.2927,                0.88721,                0.89481,                0.70751,                0.80664,                0.77066,                0.20946,                0.88772,                 0.3024,             0.00086734,             0.00086734,             0.00086734
